WORK_ORD_NO,WORK_ORD_STATUS,WORK_ORD_STATUS,WORK_ORD_COMPLETION_DT,WORK_ORD_CLOSE_DT,JOB_EFFECTIVE_DT,ACT_NO,GRP_ID,STATUS_CD,EXECUTED_DT,LAST_UPDATE_ID,LAST_UPDATE_DT
XXH6773001,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:02:47
XXH6773001,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:34:49
XXH6773001,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:57:04
XXH6773001,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:57:08
XXH6773001,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:37:10
XXH6773002,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773002,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:34:50
XXH6773002,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:57:15
XXH6773002,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:57:18
XXH6773002,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:48
XXH6773003,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773003,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:34:50
XXH6773003,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:57:25
XXH6773003,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:57:28
XXH6773003,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:51
XXH6773004,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773004,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:00
