group_id,department,q_type,sub_team1,sub_team2
CNE1,Business Pdts_Corp Network Engineering,Non GSP,Non GSP,Non GSP
CNE2,Business Pdts_Corp Network Engineering,Non GSP,Non GSP,Non GSP
CNE3,Business Pdts_Corp Network Engineering,Non GSP,Non GSP,Non GSP
CNE4,Business Pdts_Corp Network Engineering,Non GSP,Non GSP,Non GSP
EXPAN_DNHE,Business Pdts_Hosting,Non GSP,Non GSP,Non GSP
ND4,Business Pdts_Pdt Engineering,Non GSP,Non GSP,Non GSP
ND5,Business Pdts_Pdt Engineering,Non GSP,Non GSP,Non GSP
ND6,Business Pdts_Pdt Engineering,Non GSP,Non GSP,Non GSP
ND7,Business Pdts_Pdt Engineering,Non GSP,Non GSP,Non GSP
ND8,Business Pdts_Pdt Engineering,Non GSP,Non GSP,Non GSP
SNON_PM,Business Pdts_Pdt Engineering,Configuration Q,Non GSP,Non GSP
SECPS_CR,Cyber Security,Configuration Q,Non GSP,Non GSP
ESECBIZOPS,Cyber Security,Non GSP,Non GSP,Non GSP
G_ITSC,Cyber Security,Configuration Q,Non GSP,Non GSP
G_TS,Cyber Security,Configuration Q,Non GSP,Non GSP
MSS_ADMIN,Cyber Security,Non GSP,Cyber Security,Cyber Security
MSS_MSD,Cyber Security,Non GSP,Cyber Security,Cyber Security
SECPS_CC,Cyber Security,Non GSP,Non GSP,Non GSP
ANM_PIPE,FNE IE,Non GSP,Non GSP,Non GSP
BBDS,FNE IE,Non GSP,Non GSP,Non GSP
IESTM_EWPL,FNE IE,Non GSP,Non GSP,Non GSP
IESTM_NCPL,FNE IE,Non GSP,Non GSP,Non GSP
IESTM_OPS,FNE IE,Non GSP,Non GSP,Non GSP
OPDF,FNE IE,Non GSP,Non GSP,Non GSP
OPDF_INH,FNE IE,Non GSP,Non GSP,Non GSP
OPEE_DF,FNE IE,Non GSP,Non GSP,Non GSP
OPET_DF,FNE IE,Non GSP,Non GSP,Non GSP
OPEW_DF,FNE IE,Non GSP,Non GSP,Non GSP
AMBUGFS,FNE SDO,Non GSP,Non GSP,Non GSP
ARBUGFS,FNE SDO,Non GSP,Non GSP,Non GSP
BAM,FNE SDO,Non GSP,Non GSP,Non GSP
BAR,FNE SDO,Non GSP,Non GSP,Non GSP
BBD,FNE SDO,Non GSP,Non GSP,Non GSP
BBP,FNE SDO,Non GSP,Non GSP,Non GSP
BBT,FNE SDO,Non GSP,Non GSP,Non GSP
BCG,FNE SDO,Non GSP,Non GSP,Non GSP
BCS,FNE SDO,Non GSP,Non GSP,Non GSP
BCT,FNE SDO,Non GSP,Non GSP,Non GSP
BCY,FNE SDO,Non GSP,Non GSP,Non GSP
BES,FNE SDO,Non GSP,Non GSP,Non GSP
BGL,FNE SDO,Non GSP,Non GSP,Non GSP
BHG,FNE SDO,Non GSP,Non GSP,Non GSP
BJE,FNE SDO,Non GSP,Non GSP,Non GSP
BJR,FNE SDO,Non GSP,Non GSP,Non GSP
BJW,FNE SDO,Non GSP,Non GSP,Non GSP
BKT,FNE SDO,Non GSP,Non GSP,Non GSP
BNT,FNE SDO,Non GSP,Non GSP,Non GSP
BOC,FNE SDO,Non GSP,Non GSP,Non GSP
BPL,FNE SDO,Non GSP,Non GSP,Non GSP
BPR,FNE SDO,Non GSP,Non GSP,Non GSP
BQT,FNE SDO,Non GSP,Non GSP,Non GSP
BSB,FNE SDO,Non GSP,Non GSP,Non GSP
BTB,FNE SDO,Non GSP,Non GSP,Non GSP
BTP,FNE SDO,Non GSP,Non GSP,Non GSP
BTS,FNE SDO,Non GSP,Non GSP,Non GSP
BWL,FNE SDO,Non GSP,Non GSP,Non GSP
